Team,League,Division,Ranking,Year,SB,CS,SO,SH,SF,IBB,BatAge,R,H,HR,RBI,RPG,AvgHomeAtt,Playoff
FLA,NL,East,25,2012,105,46,1365,54,30,19,26.6,583,1276,146,545,3.6,"19,849",0
HOU,AL,West,30,2012,132,38,1032,26,41,35,26.1,676,1492,131,643,4.17,"21,480",0
KCR,AL,Central,23,2012,134,33,1113,47,41,29,28.7,767,1518,187,732,4.73,"37,800",0
LAA,AL,West,10,2012,104,44,1156,82,38,49,30.4,637,1369,116,607,3.93,"41,040",0
LAD,NL,West,13,2012,149,41,1228,60,40,46,28.3,609,1327,137,576,3.76,"27,401",0
MIL,NL,Central,15,2012,158,39,1240,76,35,35,29.1,776,1442,202,741,4.79,"34,955",0
MIN,AL,Central,27,2012,135,37,1069,33,56,28,28.8,701,1448,131,666,4.33,"34,276",0
NYM,NL,East,21,2012,79,38,1250,64,30,43,27.9,650,1357,139,625,4.01,"27,689",0
NYY,AL,East,3,2012,93,27,1176,31,49,31,32.9,804,1462,245,774,4.96,"43,733",1
OAK,AL,West,4,2012,122,32,1387,27,34,29,27.7,713,1315,195,676,4.4,"20,729",1
PHI,NL,East,16,2012,116,23,1094,72,39,41,31.1,684,1414,158,659,4.22,"44,021",0
PIT,NL,Central,18,2012,73,52,1354,62,45,32,27.7,651,1313,170,620,4.02,"25,826",0
SDP,NL,West,19,2012,155,46,1238,63,34,36,27.4,651,1339,121,610,4.02,"26,219",0
SEA,AL,West,20,2012,104,35,1259,32,35,21,27.1,619,1285,149,584,3.82,"21,258",0
SFG,NL,West,5,2012,118,39,1097,69,61,44,27.8,718,1495,103,675,4.43,"41,696",1
STL,NL,Central,12,2012,91,37,1192,69,49,45,29.2,765,1526,159,732,4.72,"40,273",1
TBR,AL,East,9,2012,134,44,1323,34,42,26,29.7,697,1293,175,665,4.3,"19,255",0
TEX,AL,West,7,2012,91,44,1103,36,53,44,29.7,808,1526,200,780,4.99,"42,720",0
TOR,AL,East,22,2012,123,41,1251,33,45,29,27.8,716,1346,198,677,4.42,"25,922",0
WSN,NL,East,1,2012,105,35,1325,50,36,43,27.2,731,1468,194,688,4.51,"29,269",1
ARI,NL,West,16,2013,62,41,1142,50,43,51,28.1,685,1468,130,647,4.23,"26,357",0
ATL,NL,East,3,2013,64,31,1384,58,35,36,26.8,688,1354,181,656,4.25,"31,465",1
BAL,AL,East,15,2013,79,29,1125,27,45,36,27.8,745,1460,212,719,4.6,"29,106",0
BOS,AL,East,2,2013,123,19,1308,24,50,51,29.6,853,1566,178,819,5.27,"34,979",1
CHC,NL,Central,27,2013,63,32,1230,43,30,28,27.9,602,1307,172,576,3.72,"32,626",0
CHW,AL,Central,28,2013,105,42,1207,19,48,23,29.2,598,1385,148,574,3.69,"21,832",0
CIN,NL,Central,11,2013,67,35,1245,85,46,65,28.5,698,1370,155,664,4.31,"31,151",0
CLE,AL,Central,8,2013,117,36,1283,31,56,19,28.6,745,1391,171,711,4.6,"19,419",0
COL,NL,West,20,2013,112,32,1204,65,35,26,27.7,706,1511,159,673,4.36,"34,492",0
DET,AL,Central,6,2013,35,20,1073,32,47,40,30,796,1625,176,767,4.91,"38,067",1
FLA,NL,East,30,2013,110,61,1535,46,38,17,25.8,610,1307,148,566,3.77,"20,394",0
HOU,AL,West,13,2013,153,32,1048,37,42,38,26.9,648,1443,112,620,4,"21,614",0
KCR,AL,Central,17,2013,82,34,1221,37,64,40,27.8,733,1476,164,696,4.52,"37,278",0
LAA,AL,West,7,2013,78,28,1146,71,48,45,30.6,649,1447,138,618,4.01,"46,216",0
LAD,NL,West,29,2013,78,29,1232,57,26,31,27.7,513,1257,95,485,3.17,"19,584",1
MIL,NL,Central,21,2013,142,50,1183,77,35,22,27.9,640,1381,157,610,3.95,"31,248",0
MIN,AL,Central,26,2013,52,33,1430,29,32,20,28.2,614,1346,151,590,3.79,"30,588",0
NYM,NL,East,23,2013,114,35,1384,53,32,40,28.3,619,1318,130,593,3.82,"26,366",0
NYY,AL,East,14,2013,115,31,1214,36,36,33,31.9,650,1321,144,614,4.01,"40,489",0
OAK,AL,West,4,2013,74,28,1178,21,49,29,28.3,767,1403,186,725,4.73,"22,337",1
PHI,NL,East,24,2013,73,29,1205,57,31,41,30,610,1355,140,578,3.77,"37,190",0
PIT,NL,Central,5,2013,94,42,1330,62,29,41,27.9,634,1346,161,603,3.91,"27,862",1
SDP,NL,West,19,2013,118,34,1309,52,34,36,28.1,618,1349,146,578,3.81,"26,749",0
SEA,AL,West,25,2013,49,23,1353,26,28,21,28.7,624,1318,188,597,3.85,"21,747",0
SFG,NL,West,18,2013,67,26,1078,66,42,40,28.7,629,1446,107,596,3.88,"41,087",0
STL,NL,Central,1,2013,45,22,1110,56,44,38,28.7,783,1494,125,745,4.83,"41,602",1
TBR,AL,East,9,2013,73,38,1171,24,55,31,29.5,700,1421,165,670,4.29,"18,646",1
TEX,AL,West,10,2013,149,46,1067,45,42,26,29.6,730,1465,176,691,4.48,"38,759",0
TOR,AL,East,22,2013,112,41,1123,29,38,19,28.9,712,1398,185,669,4.4,"31,316",0
WSN,NL,East,12,2013,88,28,1192,68,39,35,27.7,656,1365,161,621,4.05,"32,746",0
ARI,NL,West,30,2014,86,33,1165,56,36,31,27.6,615,1379,118,573,3.8,"25,602",0
ATL,NL,East,17,2014,95,33,1369,53,27,31,26.8,573,1316,123,545,3.54,"29,065",0
BAL,AL,East,3,2014,44,20,1285,35,36,29,28.3,705,1434,211,681,4.35,"30,426",1
BOS,AL,East,25,2014,63,25,1337,20,52,36,29.1,634,1355,123,601,3.91,"36,495",0
CHC,NL,Central,24,2014,65,40,1477,57,41,29,26.8,614,1315,157,590,3.79,"32,742",0
CHW,AL,Central,22,2014,85,36,1362,19,38,33,27.7,660,1400,155,625,4.07,"20,381",0
CIN,NL,Central,21,2014,122,52,1252,76,37,22,29,595,1282,131,562,3.67,"30,576",0
CLE,AL,Central,12,2014,104,27,1189,51,49,24,28.6,669,1411,142,644,4.13,"17,746",0
COL,NL,West,29,2014,85,48,1281,59,48,39,27.3,755,1551,186,721,4.66,"33,090",0
DET,AL,Central,5,2014,106,41,1144,24,61,51,29.8,757,1557,155,731,4.67,"36,015",1
FLA,NL,East,26,2014,122,37,1442,22,36,27,25.4,629,1317,163,596,3.88,"21,628",0
HOU,AL,West,7,2014,153,36,985,33,47,22,28.2,651,1456,95,604,4.02,"24,154",0
KCR,AL,Central,1,2014,81,39,1266,26,54,42,29.3,773,1464,155,729,4.77,"38,221",1
LAA,AL,West,4,2014,138,50,1246,47,43,30,29.4,718,1476,134,686,4.43,"46,696",1
LAD,NL,West,19,2014,58,21,1419,71,39,49,27.4,645,1399,122,614,3.98,"21,386",1
MIL,NL,Central,15,2014,102,43,1197,70,37,32,28.8,650,1366,150,617,4.01,"34,536",0
MIN,AL,Central,27,2014,99,36,1329,25,44,29,27.5,715,1412,128,675,4.41,"27,785",0
NYM,NL,East,16,2014,101,34,1264,59,44,42,28.4,629,1306,125,602,3.88,"26,528",0
NYY,AL,East,13,2014,112,26,1133,29,47,16,32.8,633,1349,147,591,3.91,"41,995",0
