Team,League,Division,Ranking,Year,SB,CS,SO,SH,SF,IBB,BatAge
LAD,NL,West,24,2015,112,45,1150,71,40,30,27.9
MIL,NL,Central,26,2015,84,29,1299,55,34,35,28.1
MIN,AL,Central,14,2015,70,38,1264,30,41,31,28.2
NYM,NL,East,7,2015,51,25,1290,29,32,42,28.6
NYY,AL,East,9,2015,63,25,1227,24,54,23,31.4
OAK,AL,West,27,2015,78,29,1119,14,38,21,27.9
PHI,NL,East,30,2015,88,32,1274,53,29,20,28
PIT,NL,Central,2,2015,98,45,1322,63,41,46,28.2
SDP,NL,West,23,2015,82,29,1327,52,42,22,27.7
SEA,AL,West,21,2015,69,45,1336,38,35,31,28.6
SFG,NL,West,12,2015,93,36,1159,45,37,30,28.9
STL,NL,Central,1,2015,69,38,1267,39,42,47,28.4
TBR,AL,East,17,2015,87,45,1310,19,47,22,28.5
TEX,AL,West,8,2015,101,39,1233,43,54,32,28.7
TOR,AL,East,5,2015,88,23,1151,36,62,12,29.5
WSN,NL,East,13,2015,57,23,1344,55,51,38,28.4
ARI,NL,West,30,2016,86,33,1165,56,36,31,27.6
ATL,NL,East,17,2016,95,33,1369,53,27,31,26.8
BAL,AL,East,3,2016,44,20,1285,35,36,29,28.3
BOS,AL,East,25,2016,63,25,1337,20,52,36,29.1
CHC,NL,Central,24,2016,65,40,1477,57,41,29,26.8
CHW,AL,Central,22,2016,85,36,1362,19,38,33,27.7
CIN,NL,Central,21,2016,122,52,1252,76,37,22,29
CLE,AL,Central,12,2016,104,27,1189,51,49,24,28.6
COL,NL,West,29,2016,85,48,1281,59,48,39,27.3
DET,AL,Central,5,2016,106,41,1144,24,61,51,29.8
FLA,NL,East,26,2016,122,37,1442,22,36,27,25.4
HOU,AL,West,7,2016,153,36,985,33,47,22,28.2
KCR,AL,Central,1,2016,81,39,1266,26,54,42,29.3
LAA,AL,West,4,2016,138,50,1246,47,43,30,29.4
LAD,NL,West,19,2016,58,21,1419,71,39,49,27.4
MIL,NL,Central,15,2016,102,43,1197,70,37,32,28.8
MIN,AL,Central,27,2016,99,36,1329,25,44,29,27.5
NYM,NL,East,16,2016,101,34,1264,59,44,42,28.4
NYY,AL,East,13,2016,112,26,1133,29,47,16,32.8
OAK,AL,West,10,2016,83,20,1104,19,43,34,29.6
PHI,NL,East,23,2016,109,26,1306,59,37,42,30.7
PIT,NL,Central,8,2016,104,47,1244,54,35,46,27.3
SDP,NL,West,18,2016,91,34,1294,56,45,27,27.9
SEA,AL,West,11,2016,96,42,1232,35,34,33,27.5
SFG,NL,West,9,2016,56,27,1245,45,49,37,28.6
STL,NL,Central,6,2016,57,32,1133,64,39,28,28.5
TBR,AL,East,20,2016,63,27,1124,43,53,31,29.3
TEX,AL,West,28,2016,105,59,1162,41,45,37,28.4
TOR,AL,East,14,2016,78,21,1151,35,40,27,29.2
WSN,NL,East,2,2016,101,23,1304,60,41,29,28.7
ARI,NL,West,16,2017,62,41,1142,50,43,51,28.1
ATL,NL,East,3,,64,31,1384,58,35,36,26.8
BAL,AL,East,15,,79,29,1125,27,45,36,27.8
BOS,AL,East,2,,123,19,1308,24,50,51,29.6
CHC,NL,Central,27,,63,32,1230,43,30,28,27.9
CHW,AL,Central,28,,105,42,1207,19,48,23,29.2
